year,country_code,country_name,athlete_number,male,female,gold,silver,bronze,medal_number,gdp,gdp_percap,gdp_growth,life_expectancy,health_expenditure,age_dependency,female_literacy
1968,GRC,Greece,44,44,0,0,0,1,1,10090675902.5364,1154.43853055613,7.20371890047187,70.3025609756098,,14.049474320762800,
1968,GTM,Guatemala,67,63,4,0,0,0,0,1610500000.0,310.661745203358,8.76603505444477,51.267,,5.56948112056989,
1968,GUY,Guyana,6,6,0,0,0,0,0,229750000.0,334.84127284863600,1.02482755267516,61.588,,7.05847423659873,
1968,HKG,"Hong Kong SAR, China",25,25,0,0,0,0,0,2716964388.42418,714.4829695806100,3.39743339704333,70.6905365853659,,6.2604026529258,
1968,HND,Honduras,6,6,0,0,0,0,0,646800000.0,252.58451994296900,6.59818324459849,51.33,,6.600767136216100,
1968,HUN,Hungary,303,220,83,32,20,29,81,,,,69.230243902439,,16.5802893405428,
1968,IDN,Indonesia,6,6,0,0,0,0,0,7076465295.33327,65.0530450392047,10.9151785714295,51.374,,6.1782642443102,
1968,IND,India,27,27,0,0,0,16,16,53085455870.8227,99.8759646011063,3.38792917600293,46.428,,5.94384348306601,
1968,IRL,Ireland,57,46,11,0,0,0,0,3278584478.33023,1124.51663608246,,70.84429268292680,,19.3727771246048,
1968,IRN,"Virgin Islands, US",6,6,0,0,0,0,0,8623172959.97743,318.991965654226,14.808076707225200,49.503,,6.55545822692214,
1968,IRQ,Iraq,4,4,0,0,0,0,0,2896947633.71605,312.822277421474,,56.723,,7.53002341180321,
1968,ISL,Iceland,16,10,6,0,0,0,0,474399471.622359,2354.48002671305,-5.47490634604691,74.0058536585366,,14.9420650587932,
1968,ISR,Israel,39,32,7,0,0,0,0,4619000000.0,1647.8772743489100,16.2419568132625,71.0565853658537,,10.0795431006421,
1968,ITA,Italy,268,235,33,5,8,20,33,87942231678.3505,1651.9393767975600,6.54455465470546,70.78,,16.5746861568725,
1968,JAM,Jamaica,35,24,11,0,1,0,1,1083883355.33421,593.622773105016,5.744132215620950,67.34900000000000,,11.212300689434900,
1968,JPN,Japan,289,223,66,16,25,22,63,146601072685.511,1450.61965234374,12.8824681383234,71.61121951219510,,9.572662647780130,
1968,KEN,Kenya,50,47,3,3,7,2,12,1353295457.5261,128.397444749075,7.982689969532570,51.44600000000000,,7.343625871871480,
1968,KGZ,South Korea,66,51,15,0,1,1,2,,,,59.5358536585366,,12.156440355722500,
1968,KWT,Kuwait,2,2,0,0,0,0,0,2663119574.34892,4207.81131641687,,64.71300000000000,,3.22052125149906,
1968,LBN,Lebanon,15,15,0,0,0,0,0,,,,65.528,,9.8663942976356,
1968,LBY,Libya,1,1,0,0,0,0,0,,,,53.92100000000000,,6.1760882692099800,
1968,LIE,Liechtenstein,3,3,0,0,0,0,0,,,,,,,
1968,LKA,Sri Lanka,3,3,0,0,0,0,0,1801344537.81513,150.896707697957,5.80109416681351,63.144,,6.71525039353878,
1968,LUX,Luxembourg,7,4,3,0,0,0,0,1066447130.8205200,3175.3673688269100,4.18387242679029,69.8351463414634,,18.630626198577900,
1968,MAR,Morocco,25,25,0,0,0,0,0,3271415867.99723,212.75081410233300,9.891739306432290,51.808,,6.92245011308301,
1968,MCO,Monaco,2,2,0,0,0,0,0,,,,,,,
